search_evaluation_id,weighting,search_accuracy_pct,final_accuracy_pct,accuracy_delta_pp,search_mflops,final_mflops,final_route_accuracy_pct,underestimation_count,overestimation_count,dispatcher_checkpoint,selected_shufflenetv2_x0_5_count,selected_shufflenetv2_x0_5_fraction,selected_mobilenetv2_x0_5_count,selected_mobilenetv2_x0_5_fraction,selected_resnet56_count,selected_resnet56_fraction,selected_repvgg_a1_count,selected_repvgg_a1_fraction,final_pareto,catalog_interpolated_accuracy_pct,catalog_interpolated_margin_pp,above_catalog_interpolated_front,chromosome_json
1455,ISNS,91.3625,90.9,-0.462499999999999,27.1714395,27.514072000000002,84.39999999999999,141,171,artifacts/cifar10/runs/pareto/final/dispatcher-01455.pt,1796,0.898,204,0.102,0,0.0,0,0.0,False,90.80931505414922,0.09068494585078213,True,"[30.9608336384234,15.810318284740049,21.948004438438886,8.085711876828572,92.28921035480428,42.86767450449013,2.641284914743771,8.735123831870027,17.37231766046197,5.607222607738237,33.71406187316022,61.67949936997812,81.17401409338002,68.65495711368797,35.0919827027035,58.4478038785392,1.3874494963403978]"
2447,INS,91.4125,91.0,-0.4124999999999934,27.5419845,27.807642,84.3,138,176,artifacts/cifar10/runs/pareto/final/dispatcher-02447.pt,1789,0.8945,210,0.105,1,0.0005,0,0.0,False,90.84028650068316,0.15971349931683676,True,"[59.81848409171852,16.63312940428663,63.53763410230796,8.453165953035889,11.858811126640283,49.2726707165317,1.6160514123690213,81.404380400821,1.8813375622763147,3.838522341050094,30.900189394834307,37.073893503345595,80.10707509509442,35.74838053325457,24.834445462628118,98.44380431325251,0.8792077209979456]"
1722,INS,91.525,91.05,-0.4750000000000032,28.031517,28.017532000000003,83.75,139,186,artifacts/cifar10/runs/pareto/final/dispatcher-01722.pt,1778,0.889,222,0.111,0,0.0,0,0.0,False,90.86222995909934,0.1877700409006593,True,"[59.80475989166751,15.97897024756527,63.609419513684635,8.453165953035889,10.048644467944758,49.2726707165317,1.6160514123690213,81.404380400821,1.8813375622763147,3.231521579446806,30.900189394834307,37.073893503345595,80.10707509509442,79.31503608709282,24.834445462628118,97.31967838372555,0.888957400045503]"
1945,ISNS,91.53750000000001,90.8,-0.737500000000002,29.730694500000002,29.304152000000002,82.15,134,223,artifacts/cifar10/runs/pareto/final/dispatcher-01945.pt,1732,0.866,268,0.134,0,0.0,0,0.0,False,90.99325239641203,-0.19325239641203495,False,"[32.022249975159994,27.233561595899133,0.6930233641817516,10.415301073617266,94.56188122845282,74.23950786930106,34.72150368726312,81.51868308478538,3.3471078076882455,57.08493282760929,30.894776336444913,38.206889020014025,29.239549971658565,69.13303589638342,14.353059548978123,23.870721038243786,1.2262452491347762]"
602,ISNS,91.55,90.9,-0.649999999999995,30.1082895,29.332122000000002,81.65,136,231,artifacts/cifar10/runs/pareto/final/dispatcher-00602.pt,1731,0.8655,269,0.1345,0,0.0,0,0.0,False,90.99603638532335,-0.09603638532334458,False,"[37.26575033595433,16.48006062549379,3.1618339982638095,10.52260658557983,61.90721165239817,74.24423318601055,5.365664746407052,38.251136786375596,2.1197887194549097,75.87550165142513,32.17312834821392,38.206889020014025,28.0658760890608,70.43141924596566,14.353059548978123,23.870721038243786,1.2480900047494583]"
498,ISNS,91.5625,91.0,-0.5624999999999991,30.894802000000002,30.576442,80.45,132,259,artifacts/cifar10/runs/pareto/final/dispatcher-00498.pt,1697,0.8485,300,0.15,3,0.0015,0,0.0,False,91.11727668562233,-0.11727668562232907,False,"[37.26575033595433,16.48006062549379,0.6930233641817516,10.52260658557983,61.90721165239817,74.23950786930106,33.1314834262678,37.052990891172726,1.0325094661727305,75.87550165142513,32.14907260700793,38.206889020014025,28.73254230275947,70.43141924596566,14.353059548978123,23.870721038243786,1.2273395252585528]"
551,ISNS,91.5625,91.0,-0.5624999999999991,30.894802000000002,30.576442,80.45,132,259,artifacts/cifar10/runs/pareto/final/dispatcher-00551.pt,1697,0.8485,300,0.15,3,0.0015,0,0.0,False,91.11727668562233,-0.11727668562232907,False,"[37.26575033595433,16.48006062549379,0.6930233641817516,10.52260658557983,61.90721165239817,74.23950786930106,33.1314834262678,37.052990891172726,1.0325094661727305,75.87550165142513,32.14907260700793,38.206889020014025,28.73254230275947,70.43141924596566,14.353059548978123,23.870721038243786,1.2273395252585528]"
563,ISNS,91.5625,91.0,-0.5624999999999991,30.894802000000002,30.576442,80.45,132,259,artifacts/cifar10/runs/pareto/final/dispatcher-00563.pt,1697,0.8485,300,0.15,3,0.0015,0,0.0,False,91.11727668562233,-0.11727668562232907,False,"[37.26575033595433,16.48006062549379,0.6930233641817516,10.52260658557983,61.90721165239817,74.23950786930106,33.1314834262678,37.052990891172726,1.0325094661727305,75.87550165142513,32.14907260700793,38.206889020014025,28.73254230275947,70.43141924596566,14.353059548978123,23.870721038243786,1.2273395252585528]"
1987,ISNS,91.5625,91.0,-0.5624999999999991,30.894802000000002,30.576442,80.45,132,259,artifacts/cifar10/runs/pareto/final/dispatcher-01987.pt,1697,0.8485,300,0.15,3,0.0015,0,0.0,False,91.11727668562233,-0.11727668562232907,False,"[37.26575033595433,16.48006062549379,0.6930233641817516,10.52260658557983,61.90721165239817,74.23950786930106,33.1314834262678,37.052990891172726,1.0325094661727305,75.87550165142513,32.14907260700793,38.206889020014025,28.73254230275947,70.43141924596566,14.353059548978123,23.870721038243786,1.2273395252585528]"
485,ISNS,91.7,91.05,-0.6500000000000061,31.2270895,30.618742,80.35,129,264,artifacts/cifar10/runs/pareto/final/dispatcher-00485.pt,1685,0.8425,315,0.1575,0,0.0,0,0.0,False,91.1213109518908,-0.07131095189080838,False,"[30.013447532038697,15.921712530856258,22.817556206391018,8.072100081294469,58.06810576668416,46.294345842966635,1.2232978441992088,81.17755205874681,2.7187942117138846,4.566235597676549,68.9228457177149,61.67949936997812,79.12549432152645,68.66953039788811,35.0919827027035,60.895380464729215,1.3541680858477392]"
